name,screener,ltp,change_pct,open,volume,market_cap_cr,pe_ratio,industry_pe,high_52w,low_52w,return_1m,return_3m,return_1y,return_3y,return_5y,pb_ratio,dividend,roe,roce,eps,dma_50,dma_200,rsi,margin_funding,margin_pledge
Reliance Industries,https://scanx.trade/company/reliance-industries-ltd,"1,443.40",-0.92%,"1,457.00","1,17,63,658","19,53,277.10",20.16,10.31,"1,611.80","1,114.85",-9.35%,-2.02%,12.31%,36.53%,65.24%,2.25,0.38%,8.54%,8.71%,101.61,"1,500.12","1,445.91",49.58,78.00%,91.00%
HDFC Bank,https://scanx.trade/company/hdfc-bank-ltd,949.7,-0.36%,956,"2,81,03,169","14,61,073.30",18.95,9.74,"1,020.50",830.55,-5.18%,-3.61%,10.37%,14.50%,20.28%,2.62,1.15%,13.93%,6.38%,89.49,968.61,977.51,52.01,78.00%,91.00%
Bharti Airtel,https://scanx.trade/company/bharti-airtel-ltd,"1,992.40",-1.65%,"2,012.00","77,08,690","11,36,087.46",25.85,-3.3,"2,174.50","1,559.50",-5.41%,-5.72%,19.92%,151.28%,237.96%,9.81,0.76%,8.11%,18.01%,21.42,"2,059.46","1,965.64",44.4,78.00%,91.00%
Tata Consultancy Services,https://scanx.trade/company/tcs-tata-consultancy-services-ltd,"2,991.50",-0.25%,"2,990.00","35,21,545","10,82,350.88",22.63,31.01,"4,150.00","2,866.60",-7.97%,0.04%,-27.16%,-14.09%,-6.18%,10.26,4.20%,50.48%,62.02%,131.54,"3,200.37","3,212.70",35.36,78.00%,91.00%
ICICI Bank,https://scanx.trade/company/icici-bank-ltd,"1,396.50",-0.84%,"1,414.00","89,82,761","9,98,524.28",17.8,9.74,"1,500.00","1,200.10",3.03%,4.46%,10.12%,61.67%,122.27%,2.94,0.78%,16.67%,6.13%,64.38,"1,375.50","1,405.34",54.81,78.00%,91.00%
State Bank of India,https://scanx.trade/company/state-bank-of-india-ltd,"1,073.50",0.50%,"1,068.20","95,51,567","9,90,906.80",11.76,9.86,"1,089.80",680,7.46%,12.10%,37.77%,97.26%,202.31%,1.82,1.44%,15.83%,5.57%,81.94,"1,000.70",879.8,62.37,78.00%,91.00%
Infosys,https://scanx.trade/company/infosys-ltd,"1,520.20",-1.02%,"1,534.00","1,06,28,127","6,16,384.00",22.24,31.01,"1,924.00","1,307.00",-7.33%,3.56%,-19.94%,-4.95%,18.83%,8.33,2.87%,29.67%,35.85%,64.2,"1,620.66","1,549.44",33.05,78.00%,90.68%
Bajaj Finance,https://scanx.trade/company/bajaj-finance-ltd,964.75,0.15%,964,"60,20,258","6,00,313.94",32.72,3.47,"1,102.50",802.5,-2.59%,-8.73%,13.83%,60.41%,75.25%,5.81,0.58%,18.84%,10.98%,241.14,981.37,959.08,53.29,76.00%,89.47%
Larsen & Toubro,https://scanx.trade/company/lt-larsen-toubro-ltd,"4,063.30",-0.58%,"4,088.00","14,33,240","5,58,939.78",29.62,10.58,"4,195.00","2,965.30",-2.40%,3.54%,18.15%,87.55%,165.61%,5.54,0.83%,15.18%,18.71%,96.6,"3,998.18","3,737.74",58.72,76.00%,91.00%
Hindustan Unilever,https://scanx.trade/company/hindustan-unilever-ltd,"2,354.40",-0.70%,"2,362.50","19,62,066","5,53,187.77",51,46.37,"2,705.09","2,101.12",0.27%,-2.13%,-1.83%,-9.64%,6.59%,11.44,2.24%,19.99%,23.38%,43.99,"2,352.26","2,402.26",47.54,78.00%,91.00%
LIC of India,https://scanx.trade/company/lic-of-india-ltd,839.75,0.53%,835.5,"6,72,395","5,31,141.68",10.34,3.47,980,715.3,-2.45%,-7.28%,0.63%,40.18%,-4.06%,3.72,1.44%,49.36%,0.87%,66.13,845.43,882.69,54.27,76.00%,87.50%
Maruti Suzuki,https://scanx.trade/company/maruti-suzuki-ltd,"15,059.00",-0.08%,"15,090.00","3,74,759","4,73,458.84",31.75,38.47,"17,370.00","11,059.45",-11.21%,-2.05%,14.87%,68.40%,97.11%,4.75,0.90%,15.75%,19.54%,467.71,"16,057.26","14,444.92",41.58,78.00%,91.00%
Mahindra & Mahindra,https://scanx.trade/company/mahindra-mahindra-ltd,"3,572.00",-0.06%,"3,592.00","12,51,428","4,44,188.50",28.66,38.47,"3,839.90","2,425.00",-6.06%,-0.26%,12.01%,157.35%,312.23%,5.36,0.68%,15.83%,15.04%,88.8,"3,627.89","3,382.57",50.75,76.00%,89.58%
HCL Technologies,https://scanx.trade/company/hcl-technologies-ltd,"1,610.00",-0.73%,"1,613.70","31,84,531","4,36,900.08",26.73,31.01,"1,780.10","1,302.75",-1.84%,5.29%,-7.07%,40.47%,68.12%,6.18,3.70%,23.01%,30.84%,60.53,"1,662.45","1,584.01",37.92,76.00%,91.00%
Axis Bank,https://scanx.trade/company/axis-bank-ltd,"1,330.60",-0.61%,"1,340.00","37,66,488","4,13,083.24",15.74,9.74,"1,418.30",978.05,5.03%,8.48%,31.05%,50.76%,78.87%,2.02,0.07%,16.77%,6.50%,86.46,"1,281.02","1,194.38",55.14,78.00%,91.00%
Sun Pharmaceutical,https://scanx.trade/company/sun-pharmaceutical-ltd,"1,702.60",-0.11%,"1,699.00","30,74,842","4,08,510.77",37.33,16.76,"1,851.20","1,548.00",-1.47%,0.75%,-3.55%,65.60%,169.61%,5.25,0.94%,14.38%,18.92%,43.95,"1,728.78","1,692.42",55.14,78.00%,91.00%
